id,Name,Date (UTC),Description,Url,Tax Code
prod_UTcUDluVDTKyMs,(Copy) Espeezy Donation,2026-05-08 03:38,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UTcPKHdmE0syPk,Espeezy Donation,2026-05-08 03:33,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UTcO5CNy5uP6N2,Espeezy Donation,2026-05-08 03:33,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UTcNJMCMmAD0BI,Espeezy Donation,2026-05-08 03:31,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UTcMNVZmMbY1Sj,Espeezy Donation,2026-05-08 03:30,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UTcL7kkUhUUHZO,(Copy) Espeezy Donation,2026-05-08 03:29,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UTcL1Xc1QqyUJu,(Copy) Espeezy Donation,2026-05-08 03:29,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UTcLVmr2IRv7M1,(Copy) Espeezy Donation,2026-05-08 03:29,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UTcK4ria2yHpKe,(Copy) Espeezy Donation,2026-05-08 03:29,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UTcFBk4tCaSzd8,(Copy) Espeezy Donation,2026-05-08 03:23,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UTcENlMHWW5eDA,(Copy) Espeezy Donation,2026-05-08 03:23,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UTcBMHfTdtab7m,(Copy) Espeezy Donation,2026-05-08 03:20,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UTcBUpykRb2rL7,(Copy) Espeezy Donation,2026-05-08 03:20,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UTcBKevOWgm0xx,(Copy) Espeezy Donation,2026-05-08 03:19,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UTc7lUVAgbu1QM,Espeezy Donation,2026-05-08 03:16,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UR9v7Y4p1RdHxK,Espeezy Donation,2026-05-01 13:59,This amount will go to the development and maintainance of the Espeezy Learning Platform (available at espeezy.com) ,,txcd_10103000
prod_UR8bi78VS0ksXv,Espeezy Standard,2026-05-01 12:37,Access to all features in the standard tier.,,txcd_10103000
prod_UQa17CiNJCu3OV,Espeezy Premium Lifetime Access (Limited),2026-04-30 00:53,"The ultimate clearance level. Reserved for the first 100 early supporters. No monthly fees. All future protocol updates, beta features, and elite branding markers included forever.",,txcd_10103000
prod_UMXKHMDzwJAu69,Espeezy Premium,2026-04-19 05:50,"For teams and student leaders running large, high-stakes collaboration workflows with advanced controls and dedicated execution capacity.",,txcd_10103000
prod_UMXGwhpYWX0mgR,Espeezy Pro,2026-04-19 05:46,"Unlock the full technical potential of your study team with priority AI feedback, unlimited projects, and deep contribution analytics.",,txcd_10103000
